,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
491,BMW 7 серии 730d VI (G11/G12) Рестайлинг,автомат,седан,задний,чёрный,3.0,265,Дизель,12500000,13000
492,Kia Carnival IV,автомат,минивэн,передний,чёрный,2.2,199,Дизель,5200000,1000
493,Renault Sandero I,механика,хэтчбек 5 дв.,передний,бежевый,1.4,75,Бензин,580000,154000
494,Mercedes-Benz CLS 350 I (C219),автомат,седан,задний,белый,3.5,272,Бензин,960000,154000
495,Toyota RAV4 III (XA30),автомат,внедорожник 5 дв.,полный,белый,2.0,152,Бензин,1360000,160000
496,Toyota Celica VII (T230),механика,хэтчбек 3 дв.,передний,синий,1.8,192,Бензин,600000,166000
497,Chevrolet Camaro SS VI,механика,купе,задний,красный,6.2,455,Бензин,2840000,98000
498,Toyota Cresta IV (X90),автомат,седан,задний,красный,2.0,135,Бензин,510000,403000
499,BYD F3 I,механика,седан,передний,красный,1.5,107,Бензин,250000,120000
500,Audi Q5 II (FY),робот,внедорожник 5 дв.,полный,красный,2.0,249,Бензин,3890000,45000
501,Audi Q5 I (8R),механика,внедорожник 5 дв.,передний,серый,2.0,143,Дизель,1560000,192000
502,Infiniti Q50 I,автомат,седан,задний,белый,2.0,211,Бензин,2330000,106000
503,Infiniti QX80 I Рестайлинг,автомат,внедорожник 5 дв.,задний,синий,5.6,405,Бензин,3710000,147000
504,Mercedes-Benz G-Класс AMG Brabus 900 II (W463),автомат,внедорожник 5 дв.,полный,чёрный,6.3,900,Бензин,53100000,7000
505,"Mercedes-Benz E-Класс 200 d V (W213, S213, C238)",автомат,седан,задний,чёрный,2.0,150,Дизель,3500000,55000
506,Land Rover Range Rover Velar I,автомат,внедорожник 5 дв.,полный,коричневый,2.0,249,Бензин,4700000,71000
507,Mazda 3 III (BM),автомат,седан,передний,серый,1.6,104,Бензин,1360000,63000
508,Mazda 6 III (GJ),механика,седан,передний,белый,2.2,150,Дизель,990000,340000
509,MINI Hatch Cooper III (F55/F56) Рестайлинг 2,робот,хэтчбек 3 дв.,передний,синий,1.5,136,Бензин,3600000,1000
510,Renault Logan II,механика,седан,передний,белый,1.6,82,Бензин,580000,98000
511,Mercedes-Benz GLA 250 I (X156) Рестайлинг,робот,внедорожник 5 дв.,передний,серый,2.0,211,Бензин,2780000,107000
512,Mercedes-Benz A-Класс 200 III (W176),робот,хэтчбек 5 дв.,передний,белый,1.6,156,Бензин,1800000,83000
513,"Mercedes-Benz E-Класс 350 IV (W212, S212, C207)",автомат,седан,задний,чёрный,3.5,292,Бензин,1160000,145000
514,Mercedes-Benz S-Класс 400 HYBRID V (W221) Рестайлинг,автомат,седан,задний,коричневый,3.5,279,Гибрид,1670000,112000
515,"Mercedes-Benz E-Класс 400 IV (W212, S212, C207) Рестайлинг",автомат,купе-хардтоп,задний,синий,3.0,333,Бензин,2010000,136000
516,"Mercedes-Benz CLA 200 I (C117, X117)",механика,седан,передний,чёрный,1.6,156,Бензин,2390000,82000
517,Mercedes-Benz GLA 200 d I (X156) Рестайлинг,механика,внедорожник 5 дв.,передний,серый,2.1,136,Дизель,3160000,15000
518,Mercedes-Benz C-Класс 220 BlueTEC IV (W205),механика,седан,задний,чёрный,2.1,170,Дизель,1870000,153000
519,Mercedes-Benz V-Класс 300 d длинный II,автомат,минивэн,задний,чёрный,2.0,239,Дизель,5620000,161000
520,Porsche Macan S I Рестайлинг,робот,внедорожник 5 дв.,полный,серебристый,3.0,354,Бензин,7590000,44000
521,Mercedes-Benz GL-Класс 320 I (X164),автомат,внедорожник 5 дв.,полный,чёрный,3.0,211,Дизель,1670000,228000
522,Volvo XC60 II,автомат,внедорожник 5 дв.,полный,чёрный,2.0,320,Бензин,6410000,6000
523,Hyundai Equus II Рестайлинг,автомат,седан,задний,чёрный,3.8,334,Бензин,1210000,169000
524,Mercedes-Benz G-Класс AMG 63 AMG II (W463),автомат,внедорожник 5 дв.,полный,чёрный,4.0,585,Бензин,30480000,17000
525,Subaru Forester IV Рестайлинг 2,вариатор,внедорожник 5 дв.,полный,синий,2.0,147,Дизель,1890000,134000
526,Subaru XV I,механика,внедорожник 5 дв.,полный,красный,1.6,114,Бензин,1540000,136000
527,Subaru Outback IV Рестайлинг,механика,универсал 5 дв.,полный,белый,2.0,150,Дизель,1700000,137000
528,Renault Sandero Stepway I,автомат,хэтчбек 5 дв.,передний,чёрный,1.6,103,Бензин,740000,60000
529,Renault Logan Stepway II Рестайлинг,автомат,седан,передний,белый,1.6,102,Бензин,1550000,11000
530,Daewoo Matiz II Рестайлинг,механика,хэтчбек 5 дв.,передний,красный,0.8,52,Бензин,210000,120000
531,Kia Ceed I Рестайлинг,механика,универсал 5 дв.,передний,белый,1.6,116,Дизель,670000,206000
532,Kia Sorento I Рестайлинг,механика,внедорожник 5 дв.,полный,чёрный,2.5,145,Дизель,710000,182000
533,Mercedes-Benz C-Класс 180 III (W204) Рестайлинг,механика,седан,задний,чёрный,2.1,120,Дизель,1260000,106000
534,Mercedes-Benz M-Класс 280 II (W164) Рестайлинг,автомат,внедорожник 5 дв.,полный,серебристый,3.0,190,Дизель,1240000,199000
535,Mercedes-Benz GLA 180 I (X156) Рестайлинг,механика,внедорожник 5 дв.,передний,белый,1.6,122,Бензин,3110000,67000
536,"Mercedes-Benz CLA 250 I (C117, X117) Рестайлинг",механика,седан,передний,синий,2.0,218,Бензин,2030000,73000
537,Renault Sandero II,механика,хэтчбек 5 дв.,передний,синий,1.6,82,Бензин,920000,39000
538,Nissan Murano III (Z52),вариатор,внедорожник 5 дв.,полный,чёрный,3.5,249,Бензин,3060000,58000
539,SsangYong Kyron 4-speed I Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,2.3,150,Бензин,790000,191000
540,BMW 3 серии 335i VI (F3x),автомат,седан,задний,белый,3.0,306,Бензин,1440000,186000
541,BMW 5 серии 530i V (E60/E61),механика,седан,задний,чёрный,3.0,258,Бензин,890000,157000
542,BMW X5 40d IV (G05),автомат,внедорожник 5 дв.,полный,чёрный,3.0,340,Дизель,15750000,1000
543,BMW X5 40d II (E70) Рестайлинг,автомат,внедорожник 5 дв.,полный,коричневый,3.0,306,Дизель,1880000,158000
544,BMW X6 50i I (E71),автомат,внедорожник 5 дв.,полный,чёрный,4.4,407,Бензин,2090000,134000
545,Peugeot 208 I,робот,хэтчбек 5 дв.,передний,белый,1.2,82,Бензин,630000,103000
546,Peugeot Partner II Рестайлинг,механика,компактвэн,передний,серый,1.6,120,Бензин,1100000,161000
547,Porsche Cayenne I (955),механика,внедорожник 5 дв.,полный,чёрный,3.2,250,Бензин,1540000,73000
548,Porsche Cayenne S II (958),автомат,внедорожник 5 дв.,полный,чёрный,4.8,400,Бензин,3070000,117000
549,Land Rover Discovery III,автомат,внедорожник 5 дв.,полный,синий,2.7,190,Дизель,940000,181000
550,Land Rover Range Rover Sport I,автомат,внедорожник 5 дв.,полный,белый,3.6,272,Дизель,1320000,193000
551,SsangYong Kyron 5-speed I Рестайлинг,автомат,внедорожник 5 дв.,полный,серебристый,2.0,141,Дизель,710000,150000
552,Opel Mokka I,механика,внедорожник 5 дв.,передний,белый,1.8,140,Бензин,840000,176000
553,Mercedes-Benz GLE AMG 63 AMG I (W166),автомат,внедорожник 5 дв.,полный,чёрный,5.5,557,Бензин,7550000,88000
554,Rolls-Royce Ghost Black Badge II,автомат,седан,полный,чёрный,6.8,600,Бензин,41340000,11000
555,Porsche Cayenne Diesel I Рестайлинг (957),автомат,внедорожник 5 дв.,полный,серый,3.0,240,Дизель,1030000,130000
556,BMW 5 серии 520d VI (F10/F11/F07),автомат,седан,задний,чёрный,2.0,184,Дизель,1780000,132000
557,Mitsubishi Outlander III Рестайлинг,вариатор,внедорожник 5 дв.,полный,серый,2.0,146,Бензин,1900000,97000
558,Skoda Octavia I (A4) Рестайлинг,автомат,лифтбек,передний,синий,1.9,90,Дизель,420000,470000
559,Subaru Outback V,вариатор,универсал 5 дв.,полный,серый,2.0,150,Дизель,2070000,76000
560,Jeep Renegade I,механика,внедорожник 5 дв.,полный,чёрный,2.0,140,Дизель,1760000,102000
561,LADA (ВАЗ) 21099,механика,седан,передний,серебристый,1.3,64,Бензин,110000,141000
562,LADA (ВАЗ) 2109,механика,хэтчбек 5 дв.,передний,серебристый,1.3,68,Бензин,80000,277000
563,LADA (ВАЗ) 2114,механика,хэтчбек 5 дв.,передний,серый,1.6,90,Бензин,120000,184000
564,LADA (ВАЗ) Kalina I,механика,седан,передний,синий,1.6,84,Бензин,290000,58000
565,LADA (ВАЗ) 2111,механика,универсал 5 дв.,передний,красный,1.6,81,Бензин,100000,150000
566,LADA (ВАЗ) 2108,механика,хэтчбек 3 дв.,передний,зелёный,1.3,64,Бензин,80000,255000
567,Kia Soul I Рестайлинг,автомат,хэтчбек 5 дв.,передний,бежевый,1.6,140,Бензин,1030000,89000
568,Audi Q7 45 TDI II (4M) Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,3.0,249,Дизель,9770000,26000
569,BMW 5 серии Gran Turismo 535i VI (F10/F11/F07),автомат,лифтбек,задний,серый,3.0,306,Бензин,1550000,137000
570,BMW 7 серии Long 740Ld xDrive VI (G11/G12),автомат,седан,полный,коричневый,3.0,320,Дизель,4520000,104000
571,Lifan X60 I Рестайлинг,механика,внедорожник 5 дв.,передний,красный,1.8,128,Бензин,1020000,52000
572,Mercedes-Benz GLC 250 d I (X253),автомат,внедорожник 5 дв.,полный,белый,2.1,204,Дизель,2880000,111000
573,Mercedes-Benz E-Класс AMG 63 AMG S V (W213),автомат,седан,полный,чёрный,4.0,612,Бензин,8770000,81000
574,Mercedes-Benz GLC 220 d I (X253),автомат,внедорожник 5 дв.,полный,серый,2.1,170,Дизель,2450000,140000
575,Mercedes-Benz M-Класс 500 III (W166),автомат,внедорожник 5 дв.,полный,коричневый,4.7,408,Бензин,2760000,68000
576,Mercedes-Benz G-Класс 350 d III (W463),автомат,внедорожник 5 дв.,полный,чёрный,2.9,249,Дизель,21060000,17000
577,Mercedes-Benz CLC-Класс 180,автомат,купе,задний,белый,1.8,143,Бензин,730000,145000
578,"Mercedes-Benz E-Класс 220 CDI IV (W212, S212, C207) Рестайлинг",автомат,купе-хардтоп,задний,чёрный,2.1,170,Дизель,1750000,136000
579,Jaguar F-Pace I,автомат,внедорожник 5 дв.,полный,чёрный,2.0,249,Бензин,5350000,13000
580,Jaguar XJ IV (X351) Рестайлинг,автомат,седан,задний,чёрный,5.0,470,Бензин,4860000,32000
581,Nissan Micra III (K12),механика,хэтчбек 5 дв.,передний,чёрный,1.2,80,Бензин,520000,146000
582,Chery Tiggo 3 I,вариатор,внедорожник 5 дв.,передний,белый,2.0,139,Бензин,1080000,22000
583,Renault Symbol I Рестайлинг,механика,седан,передний,зелёный,1.6,107,Бензин,270000,139000
584,Audi Q8 55 TFSI I,автомат,внедорожник 5 дв.,полный,чёрный,3.0,340,Бензин,7520000,38000
585,Citroen Jumpy III,робот,фургон,передний,белый,1.6,95,Дизель,3250000,9000
586,BMW 5 серии 520d xDrive VII (G30/G31),автомат,седан,полный,синий,2.0,190,Дизель,3890000,112000
587,Volkswagen Amarok I,механика,пикап двойная кабина,полный,белый,2.0,122,Дизель,2400000,170000
588,Kia Sorento I,автомат,внедорожник 5 дв.,полный,серый,2.5,140,Дизель,580000,262000
589,BMW X2 xDrive28i I (F39),автомат,внедорожник 5 дв.,полный,серый,2.0,231,Бензин,5060000,15000
590,Citroen C4 I Рестайлинг,механика,хэтчбек 3 дв.,передний,серый,1.6,90,Дизель,340000,192000
591,Citroen Berlingo II Рестайлинг,механика,компактвэн,передний,голубой,1.6,110,Бензин,840000,139000
592,Opel Agila A,механика,микровэн,передний,синий,1.0,60,Бензин,280000,98000
593,MINI Countryman One D II,механика,внедорожник 5 дв.,передний,синий,1.5,116,Дизель,2430000,83000
594,MINI Hatch One III (F55/F56),автомат,хэтчбек 3 дв.,передний,оранжевый,1.2,102,Бензин,1330000,141000
595,Mercedes-Benz GLB 250 I (X247),робот,внедорожник 5 дв.,полный,белый,2.0,224,Бензин,4440000,44000
596,Mercedes-Benz C-Класс 230 Sequentronic II (W203),робот,седан,задний,чёрный,1.8,192,Бензин,670000,250000
597,Jaguar XJ Long IV (X351),автомат,седан,задний,белый,5.0,385,Бензин,2590000,85000
598,Land Rover Discovery Sport I,автомат,внедорожник 5 дв.,полный,чёрный,2.0,150,Дизель,2910000,142000
599,Opel Antara I Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,2.2,184,Дизель,1130000,133000
600,LADA (ВАЗ) Vesta CNG I,механика,седан,передний,белый,1.6,106,Газ,880000,91000
601,LADA (ВАЗ) Largus I Рестайлинг,механика,универсал 5 дв.,передний,бежевый,1.6,106,Бензин,1530000,41000
602,Porsche Cayenne Diesel II (958),автомат,внедорожник 5 дв.,полный,белый,3.0,239,Дизель,3030000,191000
603,Fiat Doblo I Рестайлинг,механика,компактвэн,передний,серый,1.9,120,Дизель,820000,150000
604,Ford Scorpio II,механика,универсал 5 дв.,задний,синий,2.5,125,Дизель,140000,332000
605,Saab 9000 CS I Рестайлинг,автомат,лифтбек,передний,зелёный,2.0,128,Бензин,120000,590000
606,"Mercedes-Benz E-Класс 200 IV (W212, S212, C207) Рестайлинг",автомат,купе-хардтоп,задний,коричневый,2.0,184,Бензин,2210000,110000
607,SsangYong Actyon Sports I,механика,пикап двойная кабина,полный,серебристый,2.3,150,Бензин,700000,189000
608,Audi A8 II (D3) Рестайлинг 2,автомат,седан,полный,чёрный,4.2,350,Бензин,1320000,244000
609,BMW 4 серии 420i F32/F33/F36,автомат,купе,задний,чёрный,2.0,184,Бензин,1710000,77000
610,BMW 5 серии 528i VI (F10/F11/F07) Рестайлинг,механика,седан,задний,чёрный,2.0,245,Бензин,2800000,124000
611,BMW 5 серии 540i VII (G30/G31),автомат,седан,задний,синий,3.0,340,Бензин,6550000,54000
612,BMW X1 20d I (E84),механика,внедорожник 5 дв.,полный,белый,2.0,177,Дизель,980000,148000
613,Mitsubishi ASX I Рестайлинг 2,вариатор,внедорожник 5 дв.,полный,чёрный,2.0,150,Бензин,1770000,23000
614,Land Rover Freelander II Рестайлинг 2,автомат,внедорожник 5 дв.,полный,золотистый,2.0,240,Бензин,2230000,137000
615,Mercedes-Benz A-Класс 160 II (W169) Рестайлинг,механика,хэтчбек 5 дв.,передний,чёрный,2.0,82,Дизель,670000,168000
616,Mercedes-Benz G-Класс 300 II (W463),автомат,внедорожник 5 дв.,полный,чёрный,3.0,113,Дизель,2450000,306000
617,Suzuki Jimny III Рестайлинг 1,автомат,внедорожник 3 дв.,полный,серебристый,0.7,64,Бензин,860000,153000
618,Volkswagen Passat B7,робот,седан,полный,коричневый,2.0,177,Дизель,1270000,100000
619,Volkswagen Passat B5,автомат,седан,передний,серебристый,1.8,125,Бензин,280000,128000
620,Volkswagen Passat B8 Рестайлинг,робот,седан,полный,белый,2.0,272,Бензин,4770000,13000
621,Land Rover Defender 110 II,автомат,внедорожник 5 дв.,полный,коричневый,2.0,200,Дизель,12180000,25000
622,Audi RS Q8 I,автомат,внедорожник 5 дв.,полный,чёрный,4.0,600,Бензин,26870000,1000
623,BMW 5 серии 540i IV (E39),механика,седан,задний,синий,4.4,286,Бензин,150000,674000
624,BMW 7 серии 728i III (E38),автомат,седан,задний,чёрный,2.8,193,Бензин,690000,320000
625,Mercedes-Benz GLS 450 II (X167),автомат,внедорожник 5 дв.,полный,синий,3.0,367,Бензин,13230000,48000
626,Dodge Caliber R__T I,механика,хэтчбек 5 дв.,передний,красный,2.4,174,Бензин,590000,290000
627,Hyundai i20 I,механика,хэтчбек 5 дв.,передний,чёрный,1.4,90,Дизель,590000,146000
628,BMW X6 30d II (F16),автомат,внедорожник 5 дв.,полный,серый,3.0,249,Дизель,4680000,173000
629,Mercedes-Benz 190 (W201),автомат,седан,задний,синий,2.0,90,Бензин,180000,305000
630,Nissan March III (K12),механика,хэтчбек 5 дв.,передний,оранжевый,1.2,108,Бензин,290000,169000
631,Nissan Almera III (G15),автомат,седан,передний,бежевый,1.6,102,Бензин,710000,97000
632,Chery Fora (A21),механика,седан,передний,чёрный,2.0,130,Бензин,220000,135000
633,LADA (ВАЗ) Priora I Рестайлинг,механика,седан,передний,чёрный,1.6,98,Бензин,480000,90000
634,Chrysler 300C I,автомат,универсал 5 дв.,полный,серебристый,5.7,340,Бензин,900000,268000
635,Toyota Camry VI (XV40),механика,седан,передний,серый,2.4,158,Бензин,960000,173000
636,Renault Duster II,механика,внедорожник 5 дв.,полный,серый,2.0,143,Бензин,2040000,1000
637,Hyundai Tucson IV,автомат,внедорожник 5 дв.,полный,серый,2.0,150,Бензин,3380000,2000
638,Mercedes-Benz CL-Класс AMG 63 AMG II (C216),автомат,купе-хардтоп,задний,серебристый,6.2,525,Бензин,3570000,90000
639,"Mercedes-Benz E-Класс 300 IV (W212, S212, C207)",автомат,седан,задний,белый,3.5,249,Бензин,1070000,187000
640,Mercedes-Benz CLS 400 II (C218) Рестайлинг,автомат,седан,задний,чёрный,3.0,333,Бензин,3020000,96000
641,Mercedes-Benz GLE 300 d II (V167),автомат,внедорожник 5 дв.,полный,синий,2.0,245,Дизель,9790000,10000
642,"Mercedes-Benz E-Класс 250 5G-Tronic IV (W212, S212, C207)",автомат,купе-хардтоп,задний,красный,1.8,204,Бензин,1150000,124000
643,Mercedes-Benz Viano L1 I (W639) Рестайлинг,автомат,минивэн,полный,чёрный,2.1,163,Дизель,2320000,300000
644,Mercedes-Benz Vito 119 BlueTEC L2 III (W447),автомат,минивэн,полный,чёрный,2.1,190,Дизель,3740000,91000
645,Opel Vectra A,механика,лифтбек,передний,красный,1.6,71,Бензин,80000,344000
646,Opel Astra J Рестайлинг,автомат,универсал 5 дв.,передний,чёрный,2.0,131,Дизель,930000,108000
647,Mitsubishi Eclipse Cross I Рестайлинг,вариатор,внедорожник 5 дв.,передний,красный,2.0,150,Бензин,3300000,11000
648,Hyundai Elantra III (XD2) Рестайлинг,механика,седан,передний,бежевый,2.0,113,Дизель,480000,121000
649,Cadillac Escalade V,автомат,внедорожник 5 дв.,полный,чёрный,6.2,416,Бензин,19470000,25000
650,Mercedes-Benz GLS 350 d I (X166),автомат,внедорожник 5 дв.,полный,чёрный,3.0,258,Дизель,7110000,49000
651,Mitsubishi Lancer Cedia IX,механика,седан,передний,серебристый,1.5,100,Бензин,310000,126000
652,Great Wall Hover H6,механика,внедорожник 5 дв.,полный,серый,2.0,140,Дизель,1160000,44000
653,Great Wall Hover H5,механика,внедорожник 5 дв.,полный,серый,2.4,136,Бензин,780000,120000
654,Porsche 911 Turbo S VII (991),робот,купе,полный,серый,3.8,560,Бензин,10870000,25000
655,Porsche Macan Diesel I,робот,внедорожник 5 дв.,полный,белый,3.0,211,Дизель,4600000,32000
656,Land Rover Freelander I Рестайлинг,механика,внедорожник 5 дв.,полный,фиолетовый,2.0,112,Дизель,580000,146000
657,Land Rover Freelander II,механика,внедорожник 5 дв.,полный,чёрный,2.2,152,Дизель,920000,133000
658,Cadillac Escalade III,автомат,внедорожник 5 дв.,полный,чёрный,6.2,409,Бензин,2460000,242000
659,MINI Countryman One D I,механика,внедорожник 5 дв.,передний,красный,1.6,90,Дизель,1190000,84000
660,Mitsubishi Pajero IV,автомат,внедорожник 5 дв.,задний,чёрный,3.0,220,Бензин,1390000,233000
661,Land Rover Range Rover Evoque I Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.0,240,Бензин,3890000,71000
662,Mercedes-Benz A-Класс 180 d III (W176) Рестайлинг,механика,хэтчбек 5 дв.,передний,красный,1.5,109,Дизель,1860000,44000
663,BMW 5 серии 530e VII (G30/G31),автомат,седан,задний,белый,2.0,252,Гибрид,4010000,121000
664,BMW X3 20i xDrive III (G01),автомат,внедорожник 5 дв.,полный,белый,2.0,184,Бензин,4690000,65000
665,BMW 3 серии 320d VII (G2x),механика,седан,задний,синий,2.0,190,Дизель,3250000,26000
666,BMW X4 30d I (F26),автомат,внедорожник 5 дв.,полный,чёрный,3.0,258,Дизель,2380000,110000
667,Nissan Murano II (Z51) Рестайлинг 2,вариатор,внедорожник 5 дв.,полный,чёрный,3.5,249,Бензин,1150000,134000
668,Honda CR-V III Рестайлинг,автомат,внедорожник 5 дв.,передний,коричневый,2.0,150,Бензин,1560000,153000
669,Chevrolet TrailBlazer III,автомат,внедорожник 5 дв.,полный,синий,1.3,157,Бензин,2330000,14000
670,Skoda Karoq I,механика,внедорожник 5 дв.,передний,белый,1.6,110,Бензин,2130000,8000
671,Skoda Roomster I Рестайлинг,механика,компактвэн,передний,серый,1.2,86,Бензин,960000,166000
672,BMW 3 серии 320d ED VI (F3x),механика,седан,задний,белый,2.0,163,Дизель,2600000,113000
673,Volkswagen Passat B6,робот,универсал 5 дв.,передний,чёрный,2.0,140,Дизель,710000,352000
674,Volkswagen Passat CC I,робот,седан,полный,белый,2.0,170,Дизель,920000,186000
675,SEAT Altea Freetrack I Рестайлинг,робот,компактвэн,полный,серебристый,2.0,211,Бензин,980000,221000
676,Land Rover Range Rover IV Рестайлинг,автомат,внедорожник 5 дв.,полный,синий,3.0,249,Дизель,17500000,7000
677,Citroen C4 Picasso Grand II Рестайлинг,механика,компактвэн,передний,белый,1.2,130,Бензин,1000000,297000
678,Lexus RX 350 II Рестайлинг,автомат,внедорожник 5 дв.,передний,белый,3.5,276,Бензин,1110000,192000
679,Lexus GX 460 II,автомат,внедорожник 5 дв.,полный,чёрный,4.6,296,Бензин,2720000,119000
680,Volvo V40 Cross Country I,автомат,хэтчбек 5 дв.,передний,красный,2.0,190,Дизель,1820000,37000
681,Volvo S60 I Рестайлинг,автомат,седан,передний,чёрный,2.4,140,Бензин,610000,301000
682,"Mercedes-Benz E-Класс 220 IV (W212, S212, C207)",механика,седан,задний,чёрный,2.1,170,Дизель,1720000,109000
683,Hyundai Sonata IV (EF) Рестайлинг,механика,седан,передний,чёрный,2.4,150,Бензин,370000,163000
684,Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,механика,седан,передний,серый,2.7,172,Бензин,370000,203000
685,Dodge Intrepid II,автомат,седан,передний,чёрный,3.5,237,Бензин,290000,248000
686,Smart Forfour II,механика,хэтчбек 5 дв.,задний,коричневый,1.0,61,Бензин,830000,107000
687,Smart Forfour Brabus II,робот,хэтчбек 5 дв.,задний,голубой,0.9,109,Бензин,730000,124000
688,ГАЗ Volga Siber I,механика,седан,передний,чёрный,2.4,143,Бензин,480000,114000
689,Toyota Yaris Multimode II,робот,хэтчбек 5 дв.,передний,чёрный,1.3,87,Бензин,570000,75000
690,ТагАЗ Road Partner,механика,внедорожник 5 дв.,полный,чёрный,2.3,150,Бензин,340000,178000
691,Cadillac XT4 I,автомат,внедорожник 5 дв.,передний,красный,2.0,241,Бензин,4480000,34000
692,Subaru Impreza IV,вариатор,хэтчбек 5 дв.,полный,серый,1.6,114,Бензин,1570000,64000
693,Subaru Forester III,автомат,внедорожник 5 дв.,полный,серый,2.0,150,Бензин,1220000,180000
694,Subaru Outback III,автомат,универсал 5 дв.,полный,золотистый,3.0,245,Бензин,850000,111000
695,Subaru Impreza III,автомат,седан,полный,синий,1.5,107,Бензин,720000,158000
696,Volvo XC70 II Рестайлинг,автомат,универсал 5 дв.,полный,серый,2.4,181,Дизель,2640000,230000
697,Mercedes-Benz C-Класс AMG 43 AMG IV (W205),автомат,седан,полный,синий,3.0,367,Бензин,3430000,98000
698,Mazda 6 II (GH) Рестайлинг,механика,седан,передний,чёрный,1.8,120,Бензин,940000,145000
699,Nissan Primera II (P11),механика,седан,передний,зелёный,2.0,130,Бензин,170000,328000
700,Datsun mi-DO,механика,хэтчбек 5 дв.,передний,коричневый,1.6,87,Бензин,580000,59000
701,Datsun on-DO I,механика,седан,передний,серый,1.6,82,Бензин,720000,74000
702,"Mercedes-Benz E-Класс 500 IV (W212, S212, C207)",автомат,седан,задний,белый,4.7,408,Бензин,1130000,137000
703,Mercedes-Benz GLE AMG 53 AMG II (V167),автомат,внедорожник 5 дв.,полный,белый,3.0,435,Бензин,14910000,6000
704,Ford Mondeo V,автомат,седан,передний,серебристый,2.5,149,Бензин,1930000,66000
705,Toyota Camry VIII (XV70) Рестайлинг,автомат,седан,передний,белый,3.5,249,Бензин,2820000,39000
706,Toyota Aygo I,механика,хэтчбек 5 дв.,передний,красный,1.4,54,Дизель,430000,154000
707,"Toyota Corolla XI (E160, E170)",механика,седан,передний,белый,1.4,90,Дизель,1530000,139000
708,Skoda Rapid I,робот,лифтбек,передний,белый,1.2,90,Бензин,1240000,29000
709,Lifan X50,механика,внедорожник 5 дв.,передний,красный,1.5,103,Бензин,630000,58000
710,BMW X2 xDrive20d I (F39),автомат,внедорожник 5 дв.,полный,синий,2.0,190,Дизель,3190000,57000
711,BMW 2 серии Active Tourer 218d F45,механика,компактвэн,передний,чёрный,2.0,150,Дизель,1120000,227000
712,BMW 2 серии Active Tourer 216d F45,автомат,компактвэн,передний,чёрный,1.5,116,Дизель,1210000,117000
713,Jeep Wrangler III (JK),механика,внедорожник 3 дв.,полный,чёрный,2.8,177,Дизель,2500000,159000
714,Honda Civic V,автомат,хэтчбек 3 дв.,передний,зелёный,1.5,90,Бензин,170000,287000
715,LADA (ВАЗ) 2131 (4x4) I,механика,внедорожник 5 дв.,полный,серебристый,1.8,82,Бензин,770000,87000
716,LADA (ВАЗ) 2102,механика,универсал 5 дв.,задний,зелёный,1.5,75,Бензин,260000,67000
717,LADA (ВАЗ) Priora Premier I,механика,седан,передний,серебристый,1.6,98,Бензин,260000,150000
718,Jaguar XF II,автомат,седан,задний,чёрный,2.0,240,Бензин,2910000,37000
719,Jaguar XKR II Рестайлинг 2,автомат,купе,задний,чёрный,5.0,510,Бензин,4110000,35000
720,Opel Zafira C,механика,компактвэн,передний,серый,2.0,130,Дизель,1470000,179000
721,Opel Insignia I,автомат,лифтбек,полный,серый,2.0,160,Дизель,790000,209000
722,Chery CrossEastar (B14),автомат,компактвэн,передний,белый,2.4,129,Бензин,380000,211000
723,BMW X6 35d I (E71),автомат,внедорожник 5 дв.,полный,красный,3.0,286,Дизель,1260000,191000
724,BMW 5 серии 530i IV (E39) Рестайлинг,механика,седан,задний,синий,3.0,231,Бензин,530000,368000
725,BMW X7 M50i I (G07),автомат,внедорожник 5 дв.,полный,белый,4.4,530,Бензин,15290000,3000
726,LADA (ВАЗ) Granta Cross I Рестайлинг,робот,универсал 5 дв.,передний,оранжевый,1.6,106,Бензин,760000,97000
727,Mercedes-Benz G-Класс 350 CDI BlueTEC II (W463) Рестайлинг 3,автомат,внедорожник 5 дв.,полный,чёрный,3.0,211,Дизель,5730000,147000
728,"Mercedes-Benz CLA 250 II (C118, X118)",робот,седан,передний,синий,2.0,224,Бензин,3100000,16000
729,BMW X6 40d III (G06),автомат,внедорожник 5 дв.,полный,чёрный,3.0,340,Дизель,13590000,11000
730,Ford Mondeo III Рестайлинг,автомат,седан,передний,чёрный,2.0,145,Бензин,310000,325000
731,BMW X1 20i I (E84),механика,внедорожник 5 дв.,полный,серый,2.0,184,Бензин,1470000,147000
732,BMW 3 серии 320d VI (F3x),автомат,седан,задний,серый,2.0,184,Дизель,1560000,158000
733,BMW 3 серии 330i xDrive VII (G2x),автомат,седан,полный,серый,2.0,258,Бензин,4440000,25000
734,BMW X3 20d xDrive II (F25) Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,2.0,190,Дизель,2600000,120000
735,BMW X3 30i III (G01),автомат,внедорожник 5 дв.,задний,синий,2.0,248,Бензин,4280000,100000
736,BMW X5 40i IV (G05),автомат,внедорожник 5 дв.,полный,белый,3.0,340,Бензин,8370000,40000
