,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
86,Lexus LS 460 L IV,автомат,седан,полный,чёрный,4.6,380,Бензин,1520000,179000
87,Lexus RX 450h IV Рестайлинг,вариатор,внедорожник 5 дв.,полный,белый,3.5,263,Гибрид,6210000,48000
88,Mercedes-Benz V-Класс XL 250 d экстра длинный II,автомат,минивэн,полный,коричневый,2.1,190,Дизель,8300000,71000
89,Peugeot 408 I,автомат,седан,передний,красный,1.6,120,Бензин,540000,142000
90,Hyundai Getz I Рестайлинг,механика,хэтчбек 5 дв.,передний,серый,1.4,97,Бензин,380000,222000
91,Hyundai i30 II,автомат,универсал 5 дв.,передний,коричневый,1.6,128,Дизель,1000000,63000
92,Hyundai Elantra Sport VI (AD),механика,седан,передний,чёрный,1.6,204,Бензин,1200000,107000
93,Hyundai Solaris II Рестайлинг,автомат,седан,передний,белый,1.6,123,Бензин,1430000,23000
94,Hyundai Solaris I Рестайлинг,автомат,хэтчбек 5 дв.,передний,белый,1.4,107,Бензин,740000,65000
95,Hyundai Solaris II,механика,седан,передний,белый,1.4,100,Бензин,1040000,127000
96,Hyundai i40 I Рестайлинг,автомат,универсал 5 дв.,передний,чёрный,2.0,165,Бензин,1380000,190000
97,LADA (ВАЗ) Granta I Рестайлинг,механика,седан,передний,коричневый,1.6,87,Бензин,760000,5000
98,LADA (ВАЗ) Vesta I,робот,седан,передний,чёрный,1.6,106,Бензин,750000,91000
99,Porsche Cayenne GTS II (958),автомат,внедорожник 5 дв.,полный,чёрный,4.8,420,Бензин,3090000,196000
100,Toyota Highlander III (U50),автомат,внедорожник 5 дв.,полный,чёрный,3.5,249,Бензин,3540000,136000
101,Peugeot 107 I Рестайлинг 2,робот,хэтчбек 5 дв.,передний,синий,1.0,68,Бензин,470000,141000
102,Porsche Cayenne S Diesel II Рестайлинг (958),автомат,внедорожник 5 дв.,полный,коричневый,4.1,385,Дизель,6570000,149000
103,Lexus LX 570 III,автомат,внедорожник 5 дв.,полный,белый,5.7,367,Бензин,5280000,104000
104,Porsche Cayenne S III,автомат,внедорожник 5 дв.,полный,чёрный,2.9,440,Бензин,11590000,47000
105,BMW X6 M II (F86),автомат,внедорожник 5 дв.,полный,серый,4.4,575,Бензин,6380000,77000
106,Nissan Note I Рестайлинг,механика,хэтчбек 5 дв.,передний,чёрный,1.4,88,Бензин,510000,470000
107,BMW X5 30d IV (G05),автомат,внедорожник 5 дв.,полный,чёрный,3.0,249,Дизель,14000000,1000
108,Mitsubishi Lancer X Рестайлинг,механика,седан,передний,серебристый,1.6,117,Бензин,650000,96000
109,Mitsubishi Outlander I,автомат,внедорожник 5 дв.,полный,серебристый,2.4,139,Бензин,530000,132000
110,LADA (ВАЗ) Vesta SW I,вариатор,универсал 5 дв.,передний,белый,1.6,113,Бензин,990000,76000
111,Nissan Tiida I,механика,седан,передний,серый,1.8,126,Бензин,550000,166000
112,Audi A6 IV (C7) Рестайлинг,робот,седан,полный,серый,2.0,190,Дизель,2560000,82000
113,Porsche 911 4 VI (997),робот,тарга,полный,жёлтый,3.6,325,Бензин,6300000,58000
114,Mercedes-Benz C-Класс 200 IV (W205) Рестайлинг,автомат,седан,задний,чёрный,1.5,184,Бензин,4000000,27000
115,Chevrolet Lanos I,механика,седан,передний,красный,1.5,86,Бензин,210000,84000
116,Land Rover Range Rover Evoque II,автомат,внедорожник 5 дв.,полный,серебристый,2.0,249,Бензин,5860000,30000
117,Land Rover Discovery V,автомат,внедорожник 5 дв.,полный,чёрный,3.0,249,Дизель,10330000,37000
118,LADA (ВАЗ) Vesta SW Cross I,робот,универсал 5 дв.,передний,белый,1.8,122,Бензин,1180000,27000
119,Opel Grandland X I,механика,внедорожник 5 дв.,передний,белый,1.2,130,Бензин,2280000,76000
120,Audi A6 III (C6) Рестайлинг,механика,седан,передний,чёрный,2.7,190,Дизель,1000000,188000
121,Mitsubishi Lancer X,автомат,седан,передний,чёрный,2.4,168,Бензин,560000,295000
122,LADA (ВАЗ) 2110 Богдан,механика,седан,передний,серебристый,1.6,81,Бензин,90000,188000
123,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,механика,внедорожник 3 дв.,полный,зелёный,1.7,83,Бензин,770000,91000
124,Kia Cerato II,механика,купе,передний,красный,1.6,126,Бензин,730000,193000
125,Lexus LX 570 III Рестайлинг 2,автомат,внедорожник 5 дв.,полный,чёрный,5.7,383,Бензин,7650000,247000
126,Audi A6 IV (C7),вариатор,седан,передний,чёрный,2.0,136,Дизель,1750000,177000
127,Audi A4 IV (B8),механика,седан,передний,чёрный,2.0,180,Бензин,1120000,203000
128,Audi A6 55 TFSI e V (C8),робот,седан,полный,чёрный,2.0,367,Гибрид,4920000,35000
129,Audi Q5 55 TFSI e II (FY),робот,внедорожник 5 дв.,полный,серый,2.0,367,Гибрид,5940000,30000
130,Audi A4 V (B9),механика,седан,передний,серебристый,1.4,150,Бензин,2600000,69000
131,Audi Q3 35 TFSI II (F3),робот,внедорожник 5 дв.,передний,белый,1.5,150,Бензин,3330000,17000
132,Infiniti FX FX37 II (S51) Рестайлинг,автомат,внедорожник 5 дв.,полный,чёрный,3.7,333,Бензин,2260000,138000
133,Porsche Panamera Turbo II,робот,хэтчбек 5 дв.,полный,серый,4.0,550,Бензин,12330000,26000
134,Mercedes-Benz GLK-Класс 350 I (X204) Рестайлинг,автомат,внедорожник 5 дв.,полный,белый,3.5,306,Бензин,1870000,154000
135,"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",автомат,универсал 5 дв.,задний,серый,3.0,258,Дизель,5320000,51000
136,Mercedes-Benz GLE 350 d I (W166),автомат,внедорожник 5 дв.,полный,синий,3.0,249,Дизель,4170000,90000
137,Mercedes-Benz C-Класс 300 e IV (W205) Рестайлинг,автомат,седан,полный,чёрный,2.0,211,Гибрид,4200000,21000
138,Subaru Outback VI,вариатор,универсал 5 дв.,полный,белый,2.5,169,Бензин,6210000,2000
139,Volkswagen Golf VII,автомат,хэтчбек 5 дв.,передний,голубой,1.8,170,Бензин,1520000,65000
